ano,mes,sku,conta,seller_id,status,unidades,receita,comissao,frete,custo,pedidos
2020,12,1262532053,(sem conta),-100,paid,1.0,589.0,97.18,15.45,380.04,1
2020,12,1262538967,(sem conta),-100,paid,1.0,549.0,90.58,15.45,461.37,1
2020,12,1262571672,(sem conta),-100,paid,1.0,1149.0,189.58,31.95,788.45,1
2020,12,1262589844,(sem conta),-100,paid,1.0,1186.0,195.69,49.95,973.58,1
2020,12,1262593126,(sem conta),-100,paid,1.0,1097.5,126.21,49.95,1040.0,1
2020,12,1262925955,(sem conta),-100,paid,1.0,905.0,149.32,31.95,598.92,1
2020,12,1262957184,(sem conta),-100,paid,1.0,377.0,62.2,21.95,327.71,1
2020,12,1262960593,(sem conta),-100,paid,2.0,548.0,76.98,48.29,476.68,2
2020,12,1262969525,(sem conta),-100,paid,4.0,513.0,87.21,119.6,345.0,3
2020,12,1262975027,(sem conta),-100,cancelled,1.0,220.5,0.0,21.95,176.42,1
2020,12,1262975027,(sem conta),-100,paid,2.0,429.84,70.92,56.8,352.84,2
2020,12,1262993379,(sem conta),-100,paid,16.0,4928.0,767.45,351.2,3520.48,16
2020,12,1263016617,(sem conta),-100,paid,1.0,210.0,34.65,17.45,154.59,1
2020,12,1263838565,(sem conta),-100,paid,5.0,17846.5,2153.58,374.75,0.0,5
2020,12,1270039033,(sem conta),-100,paid,4.0,1712.0,282.48,61.8,1376.76,4
2020,12,1289811286,(sem conta),-100,paid,3.0,6278.0,938.47,194.85,4856.85,3
2020,12,1303014683,(sem conta),-100,paid,5.0,12490.5,1436.41,518.65,11371.2,5
2020,12,1544842539,(sem conta),-100,paid,1.0,5400.0,621.0,21.95,3999.0,1
2020,12,1570449926,(sem conta),-100,paid,2.0,2198.0,362.68,34.9,1512.92,2
2020,12,1595209119,(sem conta),-100,paid,4.0,1472.0,220.8,127.8,908.44,4
2020,12,1595220346,(sem conta),-100,paid,17.0,3641.42,596.22,392.05,1962.56,16
2020,12,1616079372,(sem conta),-100,paid,1.0,153.0,17.6,16.95,0.0,1
2020,12,1619115580,(sem conta),-100,cancelled,1.0,549.0,0.0,21.95,0.0,1
2020,12,1682189140,(sem conta),-100,cancelled,5.0,2518.6,0.0,109.75,1710.9,5
2020,12,1682189140,(sem conta),-100,paid,26.0,12694.6,1778.76,570.7,8554.5,25
2020,12,1722686800,(sem conta),-100,paid,3.0,978.0,161.37,65.85,735.96,3
2020,12,1782166727,(sem conta),-100,cancelled,1.0,1320.0,0.0,17.45,0.0,1
2020,12,18i20,(sem conta),-100,paid,1.0,5398.0,809.7,21.95,4472.6,1
2020,12,18i8,(sem conta),-100,paid,1.0,4499.5,449.95,21.95,2960.69,1
2020,12,231SV,(sem conta),-100,paid,2.0,1859.0,185.9,43.9,1208.3,2
2020,12,23S,(sem conta),-100,paid,2.0,578.0,95.36,33.9,308.8,2
2020,12,23SP,(sem conta),-100,paid,5.0,1575.0,259.9,84.75,800.0,5
2020,12,2i2,(sem conta),-100,paid,2.0,3396.0,509.4,33.9,2439.4,2
2020,12,49Mk2,(sem conta),-100,paid,1.0,1915.0,315.98,31.95,1221.96,1
2020,12,5S,(sem conta),-100,paid,7.0,1503.0,195.32,118.65,1060.5,7
2020,12,6005PRD,(sem conta),-100,cancelled,1.0,5171.0,0.0,64.95,4008.0,1
2020,12,70120,(sem conta),-100,paid,1.0,435.0,71.78,15.45,373.0,1
2020,12,8007PBK,(sem conta),-100,cancelled,1.0,4970.0,0.0,64.95,4179.66,1
2020,12,8007PBK,(sem conta),-100,paid,2.0,11100.0,1566.54,129.9,8359.32,2
2020,12,80103,(sem conta),-100,paid,1.0,258.99,42.73,21.95,160.35,1
2020,12,8227,(sem conta),-100,paid,1.0,225.0,37.12,51.85,123.42,1
2020,12,90120,(sem conta),-100,paid,1.0,565.0,93.22,16.95,433.0,1
2020,12,ACM0822 PWH,(sem conta),-100,cancelled,1.0,1846.0,0.0,31.95,1124.25,1
2020,12,AD95,(sem conta),-100,paid,1.0,135.0,15.52,15.45,75.4,1
2020,12,AM,(sem conta),-100,paid,1.0,843.0,139.1,15.45,536.49,1
2020,12,AP470BN,(sem conta),-100,cancelled,1.0,6199.0,0.0,0.0,6107.85,1
2020,12,BABYMAHOGANY,(sem conta),-100,paid,8.0,7000.0,804.96,349.65,4840.32,8
2020,12,BCB30,(sem conta),-100,cancelled,1.0,344.0,0.0,17.45,201.0,1
2020,12,BCB60,(sem conta),-100,paid,2.0,2157.5,301.01,70.29,1582.72,2
2020,12,BEX20,(sem conta),-100,paid,1.0,1088.0,179.52,31.95,560.0,1
2020,12,Bass,(sem conta),-100,paid,2.0,7740.0,1277.1,43.9,6145.54,2
2020,12,Bch0001,(sem conta),-100,paid,1.0,310.0,35.65,16.95,185.3,1
2020,12,CB30BK,(sem conta),-100,paid,4.0,2303.0,352.58,127.8,2126.12,4
2020,12,CMX4CBK,(sem conta),-100,paid,1.0,420.0,63.0,17.45,269.61,1
2020,12,CMX4CGR,(sem conta),-100,paid,1.0,420.5,63.08,17.45,269.61,1
2020,12,CMX4CRD,(sem conta),-100,cancelled,1.0,420.0,0.0,17.45,269.61,1
2020,12,CMX4CRD,(sem conta),-100,paid,1.0,420.5,63.08,17.45,269.61,1
2020,12,COMMAND,(sem conta),-100,paid,1.0,8699.0,1000.38,74.95,5580.0,1
2020,12,COMSET3,(sem conta),-100,paid,2.0,3544.1,498.85,63.9,2286.94,2
2020,12,CP05,(sem conta),-100,paid,10.0,82.5,70.68,50.5,42.85,5
2020,12,CP053,(sem conta),-100,paid,1.0,47.5,10.22,28.9,25.71,1
2020,12,CP055,(sem conta),-100,paid,3.0,212.2,45.61,28.7,128.55,3
2020,12,CPS10,(sem conta),-100,cancelled,2.0,218.6,0.0,15.45,135.62,2
2020,12,CPS10,(sem conta),-100,paid,7.0,713.6,88.01,131.95,474.67,7
2020,12,CTK3500K2,(sem conta),-100,paid,3.0,2768.0,366.12,95.85,2145.03,3
2020,12,CTX3000,(sem conta),-100,paid,2.0,3642.0,418.84,110.9,3005.6,2
2020,12,CTX800,(sem conta),-100,cancelled,1.0,1595.0,0.0,49.95,1019.2,1
2020,12,CTX800,(sem conta),-100,paid,2.0,3151.0,442.12,99.9,2038.4,2
2020,12,Claret8,(sem conta),-100,paid,1.0,7399.0,1109.85,21.95,3636.55,1
2020,12,DS88,(sem conta),-100,paid,1.0,8195.5,1352.26,49.95,5257.81,1
2020,12,E2,(sem conta),-100,paid,8.0,991.5,151.8,123.6,626.92,7
2020,12,E200,(sem conta),-100,paid,1.0,2685.0,443.02,64.95,1958.6,1
2020,12,E273,(sem conta),-100,paid,3.0,2994.0,344.31,87.8,2277.0,3
2020,12,EXK,(sem conta),-100,paid,1.0,1379.0,227.54,31.95,1004.94,1
2020,12,Engager,(sem conta),-100,paid,1.0,579.5,66.64,16.95,341.79,1
2020,12,FB20,(sem conta),-100,paid,1.0,240.0,39.6,0.0,142.27,1
2020,12,FFGHS,(sem conta),-100,paid,7.0,525.39,118.17,82.3,340.41,7
2020,12,FLY3MINI,(sem conta),-100,paid,5.0,3850.0,635.25,87.25,2845.95,5
2020,12,FV-500L,(sem conta),-100,paid,1.0,669.0,76.94,17.45,688.95,1
2020,12,G3S,(sem conta),-100,paid,15.0,624.0,157.8,131.0,377.0,13
2020,12,GC3CE,(sem conta),-100,paid,1.0,2851.0,470.42,49.95,2239.4,1
2020,12,GD11MCE,(sem conta),-100,paid,9.0,20240.0,3014.84,401.05,16470.18,9
2020,12,GD12ce,(sem conta),-100,paid,4.0,9597.0,1347.01,249.8,7320.08,4
2020,12,GE150,(sem conta),-100,cancelled,1.0,1300.0,0.0,17.45,900.0,1
2020,12,GE250,(sem conta),-100,paid,2.0,8197.0,1150.06,43.9,5517.42,2
2020,12,GFP2,(sem conta),-100,paid,14.0,182.0,111.86,25.6,101.43,7
2020,12,GFP4,(sem conta),-100,cancelled,2.0,23.0,0.0,16.9,15.05,1
2020,12,GFP4,(sem conta),-100,paid,18.0,299.0,158.4,85.0,195.65,13
2020,12,GP20,(sem conta),-100,paid,1.0,860.0,141.9,49.95,481.06,1
2020,12,GS5,(sem conta),-100,paid,3.0,55.8,28.8,92.7,51.36,2
2020,12,GT1B,(sem conta),-100,paid,1.0,1880.0,310.2,21.95,1064.03,1
2020,12,Ge300,(sem conta),-100,paid,5.0,24493.0,3821.4,109.75,24100.0,5
2020,12,Gomixerpro,(sem conta),-100,paid,3.0,5520.0,828.0,59.35,3393.9,3
2020,12,Grass,(sem conta),-100,cancelled,1.0,238.0,0.0,17.45,134.12,1
2020,12,Grass,(sem conta),-100,paid,1.0,229.5,26.39,17.45,134.12,1
2020,12,HONUDBL,(sem conta),-100,paid,2.0,391.0,64.52,33.9,190.6,2
2020,12,HONULL,(sem conta),-100,paid,2.0,385.0,54.05,33.9,180.9,2
